02/14/2019 06:30:00,555 MCCORMICK ROAD,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,19,,White,Male,Not of Hispanic Origin,Black,Male
02/16/2019 16:30:00,MASSIE RD,TRAFFIC:EXPIRED REJECTION STICKER,26,Hispanic Origin,,Female,Not of Hispanic Origin,White,Male
02/16/2019 18:32:00,EMMET ST N  / IVY RD,No Vehicle Registration,20,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
02/18/2019 19:38:00,OAKHURST CIR @ JPA,Improper display of state liecene tags,19,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
02/19/2019 16:55:00,440 MCCORMICK RD,No Vehicle Registration,18,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
02/21/2019 17:51:00,LEE ST & ROOSEVELT BROWN,No Vehicle Registration,39,,White,Male,Not of Hispanic Origin,White,Male
02/21/2019 20:29:00,914 EMMET ST,Obey Trf Lght,69,,White,Male,Not of Hispanic Origin,White,Male
02/21/2019 21:55:00,IVY ROAD/ROTHERYROAD,Improper display of state liecene tags,19,,White,Male,Not of Hispanic Origin,White,Male
02/21/2019 21:55:00,IVY RD/ ROTHERY RD,"TRAFFIC:LIGHTS-NONPERMISSIBLE/UNAUTHORIZED
EMERG",19,,White,Male,Not of Hispanic Origin,White,Male
02/22/2019 06:07:00,NORTH EMMET AT MASSIE RD.,Traffic - Fail to obey lawfully erected sign,24,,White,Female,Not of Hispanic Origin,Black,Male
02/23/2019 06:09:00,UNIVERSITY AVE,Generic DUI,22,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
02/23/2019 06:09:00,UNIVERSITY AVE,"RECK DR: GEN, ENDANGER LIFE/LIMB/PROP",22,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
02/23/2019 22:00:00,ALDERMAN/FLOYD,"RECK DR: NOT STOP BEFORE ENTER HWY+LIC
REV&DEATH",39,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
02/24/2019 17:52:00,UNIVERSITY AVE & 14TH STREET,Expired State Inspection,21,Not of Hispanic Origin,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
02/25/2019 17:18:00,11TH/W MAIN,"RECK DR: GEN, ENDANGER LIFE/LIMB/PROP",58,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
02/27/2019 16:58:00,160 MCCORMICK RD,Expired Sate License Tags,21,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
02/27/2019 21:55:00,ALDERMAN & LEAKE DR,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,32,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
02/28/2019 18:20:00,CULBRETH & UNIVERSITY,Traffic - Defective Equipment,20,,White,Male,Not of Hispanic Origin,White,Male
02/28/2019 21:40:00,2000 BLOCK IVY RD,Expired Sate License Tags,55,,White,Female,Not of Hispanic Origin,White,Male
03/01/2019 09:00:00,EMMET / MCCORMICK ROAD,Expired Sate License Tags,29,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
03/02/2019 19:36:00,EMMET ST S,No Vehicle Registration,35,,White,Female,Not of Hispanic Origin,Black,Male
03/04/2019 17:36:00,MCCORMICK RD & HANCOCK DR,DRIV WO LIC,31,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/05/2019 19:26:00,210 EMMETT STREET SOUTH,No Vehicle Registration,46,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/06/2019 04:50:00,EMMET/MCCORMICK,No Vehicle Registration,19,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/07/2019 02:04:00,LANE RD AT CRISPEL,Traffic - Fail to obey lawfully erected sign,26,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,Black,Male
03/07/2019 05:39:00,380 CRISPELL DR,Traffic - Fail to obey lawfully erected sign,36,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
03/07/2019 06:26:00,LANE RD AT CRISPELL DR,Traffic - Fail to obey lawfully erected sign,27,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
03/07/2019 18:00:00,SADLER ST / 14TH NW INT,No Vehicle Registration,20,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/07/2019 18:50:00,STADIUM RD / EMMET INT,No Vehicle Registration,26,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/08/2019 22:24:00,409 MCCORMICK RD,Obey Trf Lght,19,,,Male,Not of Hispanic Origin,White,Male
03/10/2019 16:10:00,FARRISH CIR,Expired State Inspection,33,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
03/10/2019 18:51:00,"ALDERMAN ROAD : LEWIS MOUNTIAN
ROAD",Expired State Inspection,40,,White,Male,Not of Hispanic Origin,White,Male
03/10/2019 20:40:00,CULBRETH ROAD,Expired State Inspection,19,,White,Female,Not of Hispanic Origin,White,Male
03/12/2019 03:38:00,WERTLAND ST,Traffic - Defective Equipment,25,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
03/18/2019 05:50:00,EMMET S/LEWIS MTN,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,22,,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
"Ticket Date And 
Time",Ticket Address,Ticket Charge Statute Description,Subject Age,Subject Ethnicity,Subject Race,Subject Sex,Officer Ethnicity,Officer Race,Officer Sex
03/18/2019 06:52:00,409 LANE RD,DRIV WO LIC,53,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
03/20/2019 17:00:00,EMMET ST N / LAMBETH,Traffic - Fail to obey lawfully erected sign,55,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/23/2019 14:38:00,450 WHITEHEAD RD,TRAFFIC:EXPIRED REJECTION STICKER,22,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
03/24/2019 16:32:00,,No Vehicle Registration,23,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/25/2019 06:50:00,HEREFORD DR,Improper display of state liecene tags,19,,White,Male,Not of Hispanic Origin,White,Male
03/25/2019 12:45:00,1000 W  MAIN ST,TRAFFIC:EXPIRED REJECTION STICKER,29,,White,Male,Not of Hispanic Origin,White,Male
03/26/2019 09:00:00,JPA/BRANDON AVE,No Vehicle Registration,22,,White,Female,Not of Hispanic Origin,White,Male
03/28/2019 16:55:00,MCCORMICK/ S NEWCOMB,TRAFFIC:VIOLATE PEDESTRIAN RIGHT-OF-WAY,18,Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
03/30/2019 03:47:00,555 MCCORMICK RD,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,59,,Unknown,Male,Not of Hispanic Origin,Black,Male
03/31/2019 15:01:00,UNIVERSITY AVE,Expired Sate License Tags,28,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
04/01/2019 17:05:00,440 MCCORMICK RD,RECK DR: PASSING EMERG VEH + REV LIC & DEATH,20,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
04/01/2019 17:05:00,440 MCCORMICK RD,SPEED: 1-9 OVER LIMIT (55-65 ZONE),20,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
04/01/2019 18:00:00,ALDERMAN/TWYMAN INT.,SPEED: 1-9 OVER LIMIT (55-65 ZONE),19,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/03/2019 16:09:00,1240 LEE ST,DRIV WO LIC,35,,doc,Female,Not of Hispanic Origin,White,Male
04/06/2019 14:25:00,200 BLOCK MCCORMICK RD,TRAFFIC:EXPIRED REJECTION STICKER,21,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/07/2019 13:20:00,MASSIE RD& ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,31,,White,Male,Not of Hispanic Origin,White,Male
04/07/2019 14:19:00,100 BLOCK CULBRETH RD,Traffic - Fail to obey lawfully erected sign,56,,White,Male,Not of Hispanic Origin,White,Male
04/08/2019 21:00:00,UNIVERSITY AVE  / CULBRETH RD,Traffic - Fail to obey lawfully erected sign,28,,White,Male,Not of Hispanic Origin,White,Male
04/09/2019 19:49:00,OLD IVY RD,DRIV WO LIC,31,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/11/2019 18:33:00,ALDERMAN ROAD AT PRATT DRIVE,No Vehicle Registration,44,,White,Female,Not of Hispanic Origin,White,Male
04/11/2019 23:11:00,LAMBETH FIELD,RECK DR: PASSING EMERG VEH + REV LIC & DEATH,20,,White,Female,Not of Hispanic Origin,White,Male
04/13/2019 07:20:00,LEAKE DR & ALDERMAN RD,TRAFFIC:EXPIRED REJECTION STICKER,23,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/17/2019 19:28:00,RUGBY RD,Expired Sate License Tags,21,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/20/2019 19:32:00,478 FLOYD DR,No Vehicle Registration,31,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
04/22/2019 23:00:00,400 MCCORMICK RD,Traffic - Fail to obey lawfully erected sign,48,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
04/26/2019 07:00:00,400 BLOCK MCCORMICK,TRAFFIC:EXPIRED REJECTION STICKER,42,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/26/2019 17:20:00,100 BLOCK MCCORMICK RD,Expired Sate License Tags,45,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/26/2019 19:37:00,1100 BLOCK W MIAN ST,TRAFFIC:EXPIRED REJECTION STICKER,22,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
04/28/2019 20:23:00,900 BLOCK EMMET ST,DRIV WO LIC,29,,White,Male,Not of Hispanic Origin,White,Male
04/28/2019 22:55:00,UNIVERSITY & MCCORMICK,Traffic - Fail to obey lawfully erected sign,21,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
04/29/2019 04:45:00,EMMET ST & LAMBETH,Obey Trf Lght,28,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
05/02/2019 00:53:00,1204 W  MAIN ST,DRIV WO LIC,25,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
05/03/2019 19:17:00,10TH ST & W. MAIN STREET,TRAFFIC:EXPIRED REJECTION STICKER,21,Not of Hispanic Origin,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
05/04/2019 02:31:00,MCCORMICK RD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),20,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
05/04/2019 17:04:00,ALDERMAN RD & IVY RD,Expired Sate License Tags,55,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
05/05/2019 18:01:00,,DRIV WO LIC,20,,White,Male,Not of Hispanic Origin,White,Male
05/06/2019 17:42:00,ALDERMAN RD & MCCORMICK RD,Expired Sate License Tags,26,Not of Hispanic Origin,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
05/07/2019 23:03:00,700 BLOCK ALDERMAN,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,38,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
05/08/2019 02:54:00,,"TRAFFIC:U-TURN W/POOR VISIBILTY-NOT @
INTRSECTN",31,,White,Male,Not of Hispanic Origin,White,Female
05/09/2019 00:34:00,RUGBY AND UNIVERSITY,Traffic - Fail to obey lawfully erected sign,51,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Female
05/09/2019 03:20:00,400 NORTH EMMET ST,DRIV WO LIC,33,,,Male,Not of Hispanic Origin,Black,Male
05/09/2019 04:10:00,100 BLK MCCORMICK RD,Traffic Accident,28,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
05/10/2019 20:20:00,W MAIN ST/ 11TH ST SW INT,DRIV WO LIC,40,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
05/11/2019 09:00:00,JPA : RUPPEL DR,"TRAFFIC:NO HEADLIGHT W/WIPER,@NIGHT,LOW
VISIBLTY",24,,White,Male,Not of Hispanic Origin,White,Male
05/11/2019 17:12:00,JPA :LEE STREET,TRAFFIC:EXPIRED REJECTION STICKER,50,,White,Male,Not of Hispanic Origin,White,Male
05/12/2019 01:37:00,1400 BLOCK UNIVERSITY AVE,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,32,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
05/13/2019 17:43:00,LEE ST & CRISPELL DR,TRAFFIC:EXPIRED REJECTION STICKER,24,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
05/13/2019 19:09:00,W MAIN ST & ROSEVELT BROWN,TRAFFIC:EXPIRED REJECTION STICKER,30,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
"Ticket Date And 
Time",Ticket Address,Ticket Charge Statute Description,Subject Age,Subject Ethnicity,Subject Race,Subject Sex,Officer Ethnicity,Officer Race,Officer Sex
05/15/2019 21:13:00,CRISPELL DR,Expired Sate License Tags,38,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
05/15/2019 21:13:00,CRISPELL DR,"LIC REVOKED: DR W/O LICENSE, 1 OFF",38,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
05/15/2019 21:13:00,CRISPELL DR,TRAFFIC:EXPIRED REJECTION STICKER,38,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
05/16/2019 17:38:00,1585 ROBIN LN,TRAFFIC:EXPIRED REJECTION STICKER,41,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
05/17/2019 01:21:00,14TH ST N.W. AT WERTLAND,"TRAFFIC:U-TURN W/POOR VISIBILTY-NOT @
INTRSECTN",25,Not of Hispanic Origin,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Female
05/18/2019 01:23:00,130 CULBRETH RD,Traffic - Fail to obey lawfully erected sign,27,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
05/18/2019 11:15:00,ALDERMAN/ MCCORMICK INT,Traffic - Fail to keep vehicle right of center,22,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
05/19/2019 01:54:00,2100 BLOCK ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,37,,White,Male,Not of Hispanic Origin,Black,Male
05/19/2019 20:16:00,14TH ST NW & UNIVERSITY AVE,TRAFFIC:EXPIRED REJECTION STICKER,28,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
05/19/2019 20:16:00,14TH ST NW & UNIVERSITY AVE,Expired Sate License Tags,28,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
05/20/2019 18:13:00,112 11TH ST SW,Expired Sate License Tags,26,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
05/20/2019 18:13:00,UNIVERSITY AVE & 14TH ST NW,"LIC REVOKED: DR W/O LICENSE, 1 OFF",26,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
05/21/2019 16:42:00,100 BLK CULBRETH,Traffic - Fail to obey lawfully erected sign,35,,Unknown,Male,Not of Hispanic Origin,White,Male
05/21/2019 22:32:00,ARLINGTON : MILLMONT,Traffic - Fail to obey lawfully erected sign,65,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
05/23/2019 06:29:00,14 EAST LAWN AT MCCORMICK,Expired Sate License Tags,21,,White,Male,Not of Hispanic Origin,Black,Male
05/23/2019 06:29:00,14 EAST LAWN,TRAFFIC:EXPIRED REJECTION STICKER,21,,White,Male,Not of Hispanic Origin,Black,Male
05/23/2019 19:16:00,MASSIE RD & ARLINGTON BLD,Traffic - Fail to obey lawfully erected sign,63,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
05/23/2019 21:10:00,MASSIE RD & ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,43,,White,Male,Not of Hispanic Origin,White,Male
05/27/2019 15:57:00,190 MCCORMICK RD,Traffic - Fail to obey lawfully erected sign,20,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
05/30/2019 17:45:00,THOMPSON RD / ALDERMAN,No Vehicle Registration,60,,White,Female,Not of Hispanic Origin,White,Male
05/30/2019 21:04:00,1000 BLOCK W. MAIN,Traffic - Fail to obey lawfully erected sign,57,,White,Female,Not of Hispanic Origin,White,Male
05/30/2019 23:18:00,JPA / WEST MAIN,Expired Sate License Tags,47,,White,Female,Not of Hispanic Origin,White,Male
05/30/2019 23:18:00,JPS / WEST MAIN STREET,Traffic - Fail to obey lawfully erected sign,47,,White,Female,Not of Hispanic Origin,White,Male
06/02/2019 19:45:00,975 EMMET ST N,No Vehicle Registration,20,,Black,Male,Not of Hispanic Origin,White,Male
06/04/2019 16:40:00,EMMET ST S/ IVY RD INT,No Vehicle Registration,19,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
06/04/2019 19:30:00,WEST MAIN STREET,No Vehicle Registration,36,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
06/04/2019 20:21:00,IVY ROAD & CAMERON,Expired State Inspection,76,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
06/04/2019 20:40:00,JPA/ RUPPEL DR INT,No Vehicle Registration,22,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
06/05/2019 00:06:00,IVY ROAD EMMET N,DWI: 3RD OFF W/IN 10Y,53,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
06/05/2019 22:51:00,JPA & LANE ROAD,DRIV WO LIC,42,Hispanic Origin,,Male,Not of Hispanic Origin,White,Male
