Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
3/11/2019,Traffic Stop,JPA at Emmet St,Fail to obey sign,Warning,No,No,W,F,21,B,M
3/11/2019,Traffic Stop,Copeley Rd at Seymore,Fail to obey sign,Warning,No,No,A,M,30,W,M
3/11/2019,Traffic Stop,Arlington at Emmet St,Fail to obey sign,Warning,No,No,W,F,27,W,M
3/13/2019,Traffic Stop,Emmet St at Sprigg Ln,Improper Display,Warning,No,No,W,F,31,W,M
3/14/2019,Traffic Stop,University at 14th St,No Headlights,Warning,No,No,W,F,37,B,M
3/15/2019,Traffic Stop,11th St at Lee St,Right turn on red,Warning,No,No,B,M,22,B,M
3/15/2019,Traffic Stop,Alderman at McCormick,Fail to obey light,Warning,No,No,B,M,32,W,M
3/15/2019,Traffic Stop,1900 University Ave,Brake Light,Warning,No,No,O,M,29,W,M
3/15/2019,Traffic Stop,Ivy Rd at 29 South B,Speeding,Warning,No,No,W,M,30,W,M
3/15/2019,Traffic Stop,Wertland at 14th St,Defective Equipment,Warning,No,No,W,M,22,W,M
3/15/2019,Traffic Stop,Lambeth Ln at Rugby,Defective Equipment,Warning,No,No,W,M,23,W,M
3/16/2019,Traffic Stop,900 Emmet St N,No Headlights,Warning,No,No,B,M,56,B,M
3/16/2019,Traffic Stop,1201 W. Main St,No Headlights,Warning,No,No,W,F,53,W,M
3/17/2019,Traffic Stop,11th St,Expired Registration,Warning,No,No,W,M,29,W,M
3/17/2019,Traffic Stop,1000 Blk Emmet St N,Fail to obey markings,Warning,No,No,W,F,84,W,M
3/17/2019,Traffic Stop,2117 Ivy Rd,Fail to obey light,Warning,No,No,W,F,20,W,M
3/17/2019,Traffic Stop,440 McCormick Rd,Driving w/o helmet,Warning,No,No,W,M,18,W,M
3/17/2019,Traffic Stop,100 Alderman Rd,Fail to yield right away,Warning,No,No,W,M,21,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
3/19/2019,Traffic Stop,200 Blk Emmet St,No Headlights,Warning,No,No,A,M,18,W,M
3/19/2019,Traffic Stop,Copeley Road,Defective Equipment,Warning,No,No,B,M,22,B,M
3/21/2019,Traffic Stop,301 15th St,Wrong way on one way,Warning,No,No,W,F,21,W,M
3/21/2019,Traffic Stop,Emmet St,No Headlights,Warning,No,No,A,M,21,B,M
3/21/2019,Traffic Stop,1930 Carr's Hill Rd,Passing on Right,Warning,No,No,W,M,37,W,M
3/21/2019,Traffic Stop,Lee St/JPA,Expired Registration,Warning,No,No,W,F,31,W,M
3/22/2019,Traffic Stop,160 McCormick Rd,Fail to obey sign,Warning,No,No,A,M,19,W,M
3/23/2019,Traffic Stop,450 Whitehead Rd,Expired Inspection,Warning,No,No,W,F,23,W,M
3/23/2019,Traffic Stop,Faulkner Way,Fail to obey sign,Warning,No,No,W,M,59,W,M
3/24/2019,Traffic Stop,943 Preston Ave,Drive on wrong side,Warning,No,No,W,F,42,W,M
3/24/2019,Traffic Stop,University at McCormick,Fail to obey sign,Warning,No,No,W,F,20,B,M
3/25/2019,Traffic Stop,Lee St/JPA,Improper Equipment,Warning,No,No,W,F,58,W,M
3/25/2019,Traffic Stop,250 Hereford Dr,Improper Display,Warning,No,No,W,M,18,W,M
3/25/2019,Traffic Stop,Ivy Rd at Copeley,Fail to obey light,Warning,No,No,W,M,35,W,M
3/27/2019,Traffic Stop,Stadium/George Welsh Way,Fail to obey sign,Warning,No,No,W,M,22,W,M
3/28/2019,Traffic Stop,Ivy Rd at Alderman,No right on red light,Warning,No,No,W,M,19,B,M
3/29/2019,Traffic Stop,Lewis Mnt/Emmet St,Fail to obey markings,Warning,No,No,W,M,65,W,M
3/29/2019,Traffic Stop,W. Main at Roosevelt Brown,General Reckless,Warning,No,No,A,M,21,W,M
3/29/2019,Traffic Stop,University at Culbreth,Expired Inspection,Warning,No,No,A,M,20,W,M
3/30/2019,Traffic Stop,University/McCormick,Fail to obey sign,Warning,No,No,W,F,33,W,M
3/30/2019,Traffic Stop,JPA at Oakhurst,Fail yield ROW,Warning,No,No,O,F,20,W,M
3/30/2019,Traffic Stop,102 14th St NW,Fail to obey sign,Warning,No,No,W,M,31,W,M
3/30/2019,Traffic Stop,817 W. Main St,Expired Registration,Warning,No,No,W,M,24,W,M
3/31/2019,Traffic Stop,University/McCormick,Fail to obey sign,Warning,No,No,W,M,25,W,M
3/31/2019,Traffic Stop,Alderman Dorms,Driving on sidewalk,Warning,No,No,W,M,18,W,M
3/31/2019,Traffic Stop,UVA Cemetery,Improper Display,Warning,No,No,B,M,29,W,M
3/31/2019,Traffic Stop,Barracks Rd,Defective Equipment,Warning,No,No,B,M,63,W,M
4/1/2019,Traffic Stop,Lee St,Imroper Display,Warning,No,No,W,M,19,W,M
4/2/2019,Traffic Stop,Emmet St at Massie Rd,No Headlights,Warning,No,No,W,M,21,W,M
4/2/2019,Traffic Stop,2117 Ivy Rd,No Headlights,Warning,No,No,B,F,26,W,M
4/3/2019,Traffic Stop,Treehouse at Alderman,Steady blue lights violation,Warning,No,No,W,F,34,W,M
4/4/2019,Traffic Stop,1619 University Ave,No Headlights,Warning,No,No,W,M,22,W,M
4/4/2019,Traffic Stop,567 McCormick Rd,No License Plate,Warning,No,No,W,M,20,W,M
4/4/2019,Traffic Stop,Alderman Rd,No right on red,Warning,No,No,W,F,42,B,M
4/5/2019,Traffic Stop,145 McCormick Rd,Taillight Out,Warning,No,No,B,F,22,W,M
4/5/2019,Traffic Stop,University Ave,Illegal U-Turn,Warning,No,No,W,M,55,B,M
4/5/2019,Traffic Stop,170 McCormick Rd,Illegal Left turn,Warning,No,No,W,M,19,B,M
4/6/2019,Traffic Stop,Arlington Blvd at Millmont,Expired Registration,Warning,No,No,W,F,35,W,M
4/6/2019,Traffic Stop,Lee St,Defective Taillight,Warning,No,No,W,F,19,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
4/6/2019,Traffic Stop,Ivy Rd,Fail to yield ROW,Warning,No,No,W,F,41,W,M
4/6/2019,Traffic Stop,McCormick Rd,Improper U-Turn,Warning,No,No,W,M,32,W,M
4/7/2019,Traffic Stop,McCormick Rd at Alderman,Scooter with no tags,Warning,No,No,W,F,18,B,M
4/8/2019,Traffic Stop,Emmet St at Sprigg Ln,No Headlights,Warning,No,No,B,F,22,W,M
4/8/2019,Traffic Stop,Morris at Alderman,No Headlights,Warning,No,No,B,M,24,W,M
4/8/2019,Traffic Stop,McCormick at Alderman,Right turn on red,Fled scene,Plain View Search,APD took ove,B,M,unk,B,M
4/9/2019,Traffic Stop,1401 University Ave,unk,Warning,No,No,unk,unk,unk,W,M
4/9/2019,Traffic Stop,113 Maury Ave,Fail to obey sign,Warning,No,No,W,F,21,W,M
4/10/2019,Traffic Stop,100 Shamrock Rd,Expired Registration,Warning,No,No,W,F,32,W,M
4/11/2019,Traffic Stop,Rugby Rd,No Headlights,Warning,No,No,W,M,19,W,M
4/11/2019,Traffic Stop,Lambeth Commons,No turn on red,Warning,No,No,A,F,20,W,M
4/13/2019,Traffic Stop,795 Alderman Rd,Expired Registration,Warning,No,No,A,F,22,W,M
4/16/2019,Traffic Stop,McCormick Rd,No Headlights,Warning,No,No,W,F,20,B,M
4/16/2019,Traffic Stop,McCormick at Edgemont,Right turn on red,Warning,No,No,W,F,21,W,M
4/17/2019,Traffic Stop,W. Main at JPA,Drive wrong side of road,Warning,No,No,B,M,36,W,M
4/18/2019,Traffic Stop,McCormick Rd at Hereford,No Headlights,Warning,No,No,B,F,40,W,M
4/19/2019,Traffic Stop,530 McCormick Rd,Defective Equipment,Warning,No,No,W,M,48,W,M
4/19/2019,Traffic Stop,10th St NW at Roosevelt,No right on red,Warning,No,No,I,M,30,W,M
4/19/2019,Traffic Stop,University Ave at McCormick,No left turn violation,Warning,No,No,W,M,20,W,M
4/20/2019,Traffic Stop,417 Emmet St S,Expired Registration,Warning,No,No,W,M,56,W,M
4/20/2019,Traffic Stop,Ivy Rd at Cresap,No Headlights,Warning,No,No,W,M,52,W,M
4/20/2019,Traffic Stop,450 Whitehead,No right on red,Warning,No,No,H,M,52,B,M
4/21/2019,Traffic Stop,JPA,Defective Equipment,Warning,No,No,W,F,22,W,M
4/21/2019,Traffic Stop,McCormick/Alderman,No right on red,Warning,No,No,A,F,20,B,M
4/22/2019,Traffic Stop,University at Newcomb,Expired Registration,Warning,No,No,W,F,33,W,M
4/22/2019,Traffic Stop,117 11th St,Expired Inspection,Warning,No,No,W,M,21,W,M
4/22/2019,Traffic Stop,123 Emmet St,Squealing Tires,Warning,No,No,W,M,49,W,M
4/23/2019,Traffic Stop,Crispell at Lane,Fail to obey sign,Warning,No,No,W,M,40,W,M
4/23/2019,Traffic Stop,Crispell at Lane,Fail to obey sign,Warning,No,No,W,F,27,W,M
