lon,lat,OBJECTID,geo_MAT_Status,geo_MAT_ST_NUMBER,geo_MAT_PREDIR,geo_MAT_ST_NAME,geo_MAT_SUFFIX,geo_MAT_POSTDIR,centroid_BUILD_STREET,unit,address,geo_MAT_MasterAddressID
-78.46821723,38.03255275,8950995,,1201, ,SYCAMORE,ST, ,SYCAMORE ST,A,1201 SYCAMORE ST #A,87374
-78.4842882,38.03062853,8950996,,250,W,MAIN,ST, ,W MAIN ST,803,250 W MAIN ST #803,87375
-78.4621325,38.0332564,8950997,,1509,E,HIGH,ST, ,E HIGH ST,A,1509 E HIGH ST #A,87376
-78.46766712,38.03284718,8950998,,607, ,ORANGE,ST, ,ORANGE ST,B,607 ORANGE ST #B,87377
-78.48478585,38.05429444,8950999,,1550, ,DAIRY,RD, ,DAIRY RD,,1550 DAIRY RD,87378
-78.49129955,38.05397432,8951000,,2001, ,MEADOWBROOK,RD, ,MEADOWBROOK RD,,2001 MEADOWBROOK RD,87379
-78.49050765,38.05332009,8951001,,1923, ,MEADOWBROOK,RD, ,MEADOWBROOK RD,,1923 MEADOWBROOK RD,87380
-78.46074337,38.03844401,8951002,,1215, ,BELLEVIEW,AVE, ,BELLEVIEW AVE,,1215 BELLEVIEW AVE,87381
-78.50990226,38.03150019,8951003,,233, ,MONTEBELLO,CIR, ,MONTEBELLO CIR,,233 MONTEBELLO CIR,87382
-78.48363489,38.05056201,8951004,,1605, ,DEL MAR,DR, ,DEL MAR DR,,1605 DEL MAR DR,87383
-78.48425881,38.05059229,8951005,,1612, ,DEL MAR,DR, ,DEL MAR DR,,1612 DEL MAR DR,87384
-78.49329139,38.02838041,8951006,,808, ,CHERRY,AVE, ,CHERRY AVE,,808 CHERRY AVE,87385
-78.49659645,38.01962214,8951007,,972, ,ROCK CREEK,RD, ,ROCK CREEK RD,,972 ROCK CREEK RD,87386
-78.49980373,38.02859604,8951008,,1108, ,KING,ST, ,KING ST,,1108 KING ST,87387
-78.49544179,38.02102259,8951009,,605, ,BAILEY,RD, ,BAILEY RD,,605 BAILEY RD,87388
-78.49781748,38.02812243,8951010,,1010, ,CHERRY,AVE, ,CHERRY AVE,,1010 CHERRY AVE,87389
-78.49805819,38.02807367,8951011,,1014, ,CHERRY,AVE, ,CHERRY AVE,,1014 CHERRY AVE,87390
-78.50026595,38.02734207,8951012,,1201, ,CHERRY,AVE, ,CHERRY AVE,,1201 CHERRY AVE,87391
-78.49971683,38.02747304,8951013,,1202, ,CHERRY,AVE, ,CHERRY AVE,,1202 CHERRY AVE,87392
-78.49986503,38.02705636,8951014,,1208, ,CHERRY,AVE, ,CHERRY AVE,,1208 CHERRY AVE,87393
-78.49664325,38.02194409,8951015,,771, ,PROSPECT,AVE, ,PROSPECT AVE,,771 PROSPECT AVE,87394
-78.50206247,38.0246342,8951016,,1412, ,CHERRY,AVE, ,CHERRY AVE,,1412 CHERRY AVE,87395
-78.49051643,38.02380091,8951017,,715, ,RIDGE,ST, ,RIDGE ST,2,715 RIDGE ST #2,87397
-78.49051643,38.02380091,8951018,,715, ,RIDGE,ST, ,RIDGE ST,3,715 RIDGE ST #3,87398
-78.49118031,38.02299096,8951019,,759, ,RIDGE,ST, ,RIDGE ST,C,759 RIDGE ST #C,87399
-78.47155602,38.02738514,8951020,,1110,E,MARKET,ST, ,E MARKET ST,23C,1110 E MARKET ST #23C,87400
-78.47155602,38.02738514,8951021,,1110,E,MARKET,ST, ,E MARKET ST,22B,1110 E MARKET ST #22B,87401
-78.49836598,38.03510124,8951022,,218, ,14TH,ST,NW,14TH ST NW,207,218 14TH ST NW #207,87402
-78.49836598,38.03510124,8951023,,218, ,14TH,ST,NW,14TH ST NW,208,218 14TH ST NW #208,87403
-78.46057904,38.04677378,8951024,,1210, ,HOLMES,AVE, ,HOLMES AVE,,1210 HOLMES AVE,87424
-78.46097561,38.04669935,8951025,,1209, ,HOLMES,AVE, ,HOLMES AVE,,1209 HOLMES AVE,87425
-78.4606185,38.04659678,8951026,,1208, ,HOLMES,AVE, ,HOLMES AVE,,1208 HOLMES AVE,87426
-78.49241909,38.02146279,8951027,,823, ,RIDGE,ST, ,RIDGE ST,,823 RIDGE ST,87427
-78.49225443,38.02167637,8951028,,817, ,RIDGE,ST, ,RIDGE ST,,817 RIDGE ST,87428
-78.47623977,38.03148933,8951029,,614,E,HIGH,ST, ,E HIGH ST,,614 E HIGH ST,87429
-78.47437592,38.03143467,8951030,,815,E,HIGH,ST, ,E HIGH ST,,815 E HIGH ST,87430
-78.47298942,38.03135702,8951031,,910,E,HIGH,ST, ,E HIGH ST,,910 E HIGH ST,87431
-78.52022731,38.0247502,8951032,,118, ,SUMMIT,ST, ,SUMMIT ST,,118 SUMMIT ST,87433
-78.49651963,38.03009105,8951033,,999, ,GROVE,ST, ,GROVE ST,,999 GROVE ST,87434
-78.46087572,38.04610995,8951034,,1202, ,HOLMES,AVE, ,HOLMES AVE,,1202 HOLMES AVE,87435
-78.46187574,38.04609561,8951035,,704, ,ELIZABETH,AVE, ,ELIZABETH AVE,,704 ELIZABETH AVE,87436
-78.46131948,38.04561953,8951036,,1114, ,HOLMES,AVE, ,HOLMES AVE,,1114 HOLMES AVE,87437
-78.46198207,38.04534035,8951037,,1109, ,HOLMES,AVE, ,HOLMES AVE,,1109 HOLMES AVE,87438
-78.50002311,38.04267748,8951038,,611, ,RUGBY,RD, ,RUGBY RD,102,611 RUGBY RD #102,87439
-78.50002311,38.04267748,8951039,,611, ,RUGBY,RD, ,RUGBY RD,103,611 RUGBY RD #103,87440
-78.50896911,38.03209842,8951040,,100, ,STADIUM,RD, ,STADIUM RD,2,100 STADIUM RD #2,87441
-78.50989809,38.02910524,8951041,,106, ,MONTEBELLO,CIR, ,MONTEBELLO CIR,6,106 MONTEBELLO CIR #6,87442
-78.50970161,38.02991619,8951042,,204, ,MONTEBELLO,CIR, ,MONTEBELLO CIR,2,204 MONTEBELLO CIR #2,87443
-78.52294519,38.02137671,8951043,,252, ,STRIBLING,AVE, ,STRIBLING AVE,B,252 STRIBLING AVE #B,87444
-78.51271122,38.0265595,8951044,,2000, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,8,2000 JEFFERSON PARK AVE #8,87445
-78.50154054,38.0416683,8951045,,64, ,UNIVERSITY,WAY, ,UNIVERSITY WAY,1,64 UNIVERSITY WAY #1,87446
-78.52254419,38.02410419,8951046,,103, ,MORRIS PAUL,CT, ,MORRIS PAUL CT,B,103 MORRIS PAUL CT #B,87447
-78.51022058,38.02747055,8951047,,113, ,CARROLLTON,TER, ,CARROLLTON TER,B,113 CARROLLTON TER #B,87448
-78.50606925,38.01334404,8951048,,118, ,LONGWOOD,DR, ,LONGWOOD DR,B,118 LONGWOOD DR #B,87449
-78.50169521,38.04130862,8951049,,68, ,UNIVERSITY,WAY, ,UNIVERSITY WAY,8A,68 UNIVERSITY WAY #8A,87450
-78.48923988,38.04042064,8951050,,939, ,HENRY,AVE, ,HENRY AVE,1,939 HENRY AVE #1,87451
