SFTYPE,OFFENSE,RACE,lat,lon,beatnumdot,Year,Month,BEAT_NO
NA,NA,W,38.03575049149997,-78.50006798937561,15,2019,05,27
NA,NA,B,38.03570905958505,-78.50052568044642,15,2019,08,28
NA,NA,B,38.03545945272944,-78.5005371532599,15,2019,08,28
NA,NA,B,38.03493202589544,-78.50041028777659,15,2019,08,28
NA,NA,B,38.03488812898846,-78.50014379945094,15,2019,12,28
NA,NA,B,38.035852237472355,-78.50008052174597,15,2019,02,28
NA,NA,B,38.034785436773596,-78.50002138064109,15,2019,02,28
NA,NA,B,38.04762026866516,-78.49805857837859,16,2019,03,28
NA,NA,B,38.04709999608946,-78.49537830179038,16,2019,05,28
NA,NA,B,38.03793460561299,-78.50186455941618,16,2019,05,28
NA,NA,B,38.04673314604116,-78.49633627853456,16,2019,11,28
NA,NA,B,38.051609430668464,-78.49845123390158,16,2019,10,28
NA,NA,B,38.05097640399842,-78.500031466925,16,2019,05,29
NA,NA,B,38.048687565329054,-78.49997404568215,16,2019,05,29
NA,NA,B,38.04479831109303,-78.49994231780207,16,2019,05,29
NA,NA,B,38.04171206517931,-78.49387402201538,16,2019,05,29
NA,NA,W,38.041320483060225,-78.49281908589222,16,2019,09,29
NA,NA,B,38.03830176474412,-78.4991458519495,16,2019,12,30
NA,NA,B,38.043772233164574,-78.4995232578879,16,2019,02,30
NA,NA,B,38.04805207831505,-78.49734482251249,16,2019,02,30
NA,NA,B,38.04232558131541,-78.49526768605716,16,2019,02,30
NA,NA,B,38.045849644279684,-78.49410974023498,16,2019,07,30
NA,NA,B,38.046410662003915,-78.50145864147689,16,2019,07,30
NA,NA,B,38.048491518172945,-78.49893173987005,16,2019,09,30
NA,NA,B,38.03972546448426,-78.50482963235144,16,2019,09,30
NA,NA,W,38.0404078103464,-78.50319071737947,16,2019,04,30
NA,NA,W,38.04757116259137,-78.49842317918856,16,2019,04,30
NA,NA,W,38.04620619188637,-78.49374497247943,16,2019,12,30
NA,NA,W,38.044179236227826,-78.49975074758181,16,2019,12,30
NA,NA,W,38.04394098014828,-78.49786641134756,16,2019,02,30
NA,NA,W,38.03990747702365,-78.4947857083289,16,2019,02,30
NA,NA,W,38.042886725477615,-78.4907592573845,17,2019,02,30
NA,NA,W,38.04487980925071,-78.4794006117597,17,2019,02,30
NA,NA,W,38.04250285524439,-78.48447228811253,17,2019,02,30
NA,NA,W,38.043092577724636,-78.489772598127,17,2019,07,30
NA,NA,W,38.04202827777432,-78.4836302649591,17,2019,06,30
NA,NA,W,38.051906296929424,-78.448438775619607,18,2019,11,30
NA,NA,W,38.04855485899902,-78.44886883268848,18,2019,11,30
NA,NA,W,38.05365472252891,-78.45429137168638,18,2019,10,30
NA,NA,W,38.04753151235358,-78.46230964470004,18,2019,09,30
NA,NA,B,38.04083719892604,-78.46948748113971,18,2019,03,31
NA,NA,W,38.049451436311614,-78.45289802719286,18,2019,03,31
NA,NA,W,38.047065968121636,-78.45794524868202,18,2019,05,31
NA,NA,W,38.049389946510935,-78.47236532340447,18,2019,05,31
NA,NA,W,38.046466256383646,-78.44997356585802,18,2019,05,31
NA,NA,W,38.04155666940963,-78.46233687801103,18,2019,09,31
NA,NA,B,38.04766003756499,-78.45689555413648,18,2019,12,32
NA,NA,B,38.04579195737641,-78.46798423647785,18,2019,05,32
NA,NA,B,38.053247459580966,-78.44884506469262,18,2019,10,32
NA,NA,W,38.04202232162838,-78.47362384938631,18,2019,02,32
NA,NA,W,38.04688499888284,-78.45341976570344,18,2019,07,32
NA,NA,W,38.036550753631225,-78.45751432796872,19,2019,03,32
NA,NA,W,38.04205110894268,-78.454641148461,19,2019,05,32
NA,NA,W,38.03813119847472,-78.4573473492942,19,2019,05,32
NA,NA,W,38.037324376287856,-78.4616745503035,19,2019,11,32
NA,NA,W,38.037363000778804,-78.45807261419183,19,2019,10,32
NA,NA,W,38.03913610116663,-78.45518857404046,19,2019,09,32
NA,NA,W,38.03741062299669,-78.46082680635445,19,2019,08,33
NA,NA,W,38.037393335356626,-78.45745929736505,19,2019,07,33
NA,NA,W,38.02613947149252,-78.45655862030638,20,2019,06,33
NA,NA,B,38.02183331950756,-78.45613769493288,20,2020,02,1
NA,NA,B,38.026194184708686,-78.46063400278905,20,2020,01,1
NA,NA,B,38.02592094423982,-78.46678840842175,20,2020,01,1
NA,NA,B,38.02441501068048,-78.45428683072805,20,2020,01,1
NA,NA,B,38.032006593638755,-78.46156784051406,20,2020,03,1
NA,NA,B,38.03202770116009,-78.46344939060258,20,2020,03,1
NA,NA,W,38.027452014549176,-78.46419491862058,20,2020,02,1
NA,NA,W,38.02487604022973,-78.46200919468832,20,2020,02,1
NA,NA,W,38.028252056704865,-78.45724157762486,20,2020,01,1
NA,NA,W,38.02595663750239,-78.46262850595618,20,2020,01,1
NA,NA,W,38.02259678178777,-78.4672185087915,20,2020,03,1
NA,NA,B,38.023960321405255,-78.49413949136688,21,2020,04,2
NA,NA,B,38.0252670456748,-78.49356922469349,21,2020,02,2
NA,NA,B,38.02202258637204,-78.49452809441404,21,2020,01,2
NA,NA,W,38.02039214563748,-78.4957773070937,21,2020,04,2
NA,NA,W,38.024848529628485,-78.49171877905093,21,2020,04,2
NA,NA,W,38.02283903372782,-78.49319308540106,21,2020,02,2
NA,NA,W,38.02102765243253,-78.49758978286037,21,2020,02,2
NA,NA,W,38.01991846240553,-78.49596881830647,21,2020,01,2
NA,NA,W,38.02483793845448,-78.49524903301683,21,2020,01,2
NA,NA,W,38.02122991829067,-78.49793576194979,21,2020,01,2
NA,NA,W,38.0235574115357,-78.49575612922357,21,2020,01,2
NA,NA,B,38.022310750220704,-78.49655773805316,21,2020,03,3
NA,NA,B,38.0205575299729,-78.4981424432952,21,2020,03,3
